"","child_brand","num_label","Code","Parent_Brand"
"1","7 UP",500,"199","7 UP"
"2","7 UP RETRO",501,"199","7 UP"
"3","A & W",502,"200","ADIRONDACK"
"4","ADIRONDACK",503,"200","ADIRONDACK"
"5","ADIRONDACK CLEAR N NATURAL",504,"200","ADIRONDACK"
"6","ADIRONDACK NATURALS",505,"200","ADIRONDACK"
"7","ALL BRAND",506,"201","ALL BRAND"
"8","ALL PEPSI PRODUCTS",507,"239","PEPSI"
"9","BARQS",508,"202","BARQS"
"10","BERGHOFF",509,"203","BERGHOFF"
"11","BIG RED",510,"204","BIG RED"
"12","BOYLANS",511,"205","BOYLANS"
"13","BUBBLING CAULDRON",512,"206","BUBBLING CAULDRON"
"14","CAFFEINE FREE COCA COLA",513,"212","COCA COLA"
"15","CAFFEINE FREE COCA COLA CLASS",514,"212","COCA COLA"
"16","CAFFEINE FREE DIET COKE",515,"212","COCA COLA"
"17","CAFFEINE FREE DIET DR PEPPER",516,"216","DR PEPPER"
"18","CAFFEINE FREE DIET PEPSI",517,"239","PEPSI"
"19","CAFFEINE FREE PEPSI",518,"239","PEPSI"
"20","CANADA DRY",519,"207","CANADA DRY"
"21","CANFIELDS",520,"208","CANFIELDS"
"22","CAPE COD",521,"209","CAPE COD"
"23","CAPE COD DRY",522,"209","CAPE COD"
"24","CHERRY 7 UP",523,"199","7 UP"
"25","CHERRY 7UP ANTIOXIDANT",524,"199","7 UP"
"26","CHERRY COCA COLA",525,"212","COCA COLA"
"27","CHERRY R C",526,"245","RC"
"28","CHUBBY",527,"210","CHUBBY"
"29","CITRUS BLAST",528,"211","CITRUS BLAST"
"30","COCA COLA",529,"212","COCA COLA"
"31","COCA COLA CHERRY",530,"212","COCA COLA"
"32","COCA COLA CHERRY ZERO",531,"212","COCA COLA"
"33","COCA COLA VANILLA",532,"212","COCA COLA"
"34","COCA COLA VANILLA ZERO",533,"212","COCA COLA"
"35","COCA COLA ZERO",534,"212","COCA COLA"
"36","COKE",535,"212","COCA COLA"
"37","CRUSH",536,"213","CRUSH"
"38","DADS",537,"214","DADS"
"39","DIET 7 UP",538,"199","7 UP"
"40","DIET BARQS",539,"202","BARQS"
"41","DIET CHERRY 7 UP",540,"199","7 UP"
"42","DIET CHERRY VANILLA DR PEPPER",541,"212","COCA COLA"
"43","DIET COKE",542,"212","COCA COLA"
"44","DIET COKE CHERRY",543,"212","COCA COLA"
"45","DIET COKE WITH LIME",544,"212","COCA COLA"
"46","DIET COKE WITH SPLENDA",545,"212","COCA COLA"
"47","DIET DR PEPPER",546,"216","DR PEPPER"
"48","DIET DR PEPPER CHERRY",547,"216","DR PEPPER"
"49","DIET IBC",548,"228","IBC"
"50","DIET MIXED BERRY 7 UP ANTIOXI",549,"199","7 UP"
"51","DIET MOUNTAIN DEW",550,"234","MOUNTAIN DEW"
"52","DIET MOUNTAIN DEW CAFFEINE FR",551,"234","MOUNTAIN DEW"
"53","DIET MOUNTAIN DEW CODE RED",552,"234","MOUNTAIN DEW"
"54","DIET MTN DEW SUPERNOVA",553,"234","MOUNTAIN DEW"
"55","DIET MUG",554,"237","MUG"
"56","DIET PEPSI",555,"239","PEPSI"
"57","DIET PEPSI WITH LIME",556,"239","PEPSI"
"58","DIET R C",557,"245","RC"
"59","DIET RITE",558,"248","RITE"
"60","DIET RITE PURE ZERO",559,"248","RITE"
"61","DIET SCHWEPPES",560,"250","SCHWEPPES"
"62","DIET SIERRA MIST",561,"253","SIERRA MIST"
"63","DIET SIERRA MIST CRANBERRY SP",562,"253","SIERRA MIST"
"64","DIET SIERRA MIST RUBY SPLASH",563,"253","SIERRA MIST"
"65","DIET SQUIRT",564,"258","SQUIRT"
"66","DIET SUN DROP",565,"261","SUN DROP"
"67","DIET SUNKIST",566,"262","SUNKIST"
"68","DIET VERNORS",567,"266","VERNORS"
"69","DIET WILD CHERRY PEPSI",568,"239","PEPSI"
"70","DR BROWNS",569,"215","DR BROWNS"
"71","DR PEPPER",570,"216","DR PEPPER"
"72","DR PEPPER CHERRY",571,"216","DR PEPPER"
"73","DR PEPPER TEN",572,"216","DR PEPPER"
"74","FANTA",573,"217","FANTA"
"75","FANTA ZERO ORANGE",574,"217","FANTA"
"76","FEVER TREE",575,"218","FEVER TREE"
"77","FLATHEAD LAKE GOURMET SODA",576,"219","FLATHEAD LAKE"
"78","FLATHEAD LAKE MONSTER",577,"219","FLATHEAD LAKE"
"79","FRESCA",578,"220","FRESCA"
"80","FROSTOP",579,"221","FROSTOP"
"81","GINSENG UP",580,"222","GINSENG UP"
"82","GOSLINGS",581,"223","GOSLINGS"
"83","GOYA",582,"224","GOYA"
"84","GOYA MALTA",583,"224","GOYA"
"85","GRAFS 50 50",584,"225","GRAFS"
"86","GRAPENSTEIN",585,"226","GRAPENSTEIN"
"87","HANSENS",586,"227","HANSENS"
"88","IBC",587,"228","IBC"
"89","JARRITOS",588,"229","JARRITOS"
"90","JONES",589,"230","JONES"
"91","JONES ZILCH",590,"230","JONES"
"92","KUTZTOWN",591,"231","KUTZTOWN"
"93","MARLEYS MELLOW MOOD",592,"232","MARLEYS MELLOW MOOD"
"94","MELLO YELLO",593,"233","MELLO YELLO"
"95","MELLO YELLO THE ORIGINAL SMOO",594,"233","MELLO YELLO"
"96","MELLO YELLO ZERO",595,"233","MELLO YELLO"
"97","MIXED BERRY 7 UP ANTIOXIDANT",596,"199","7 UP"
"98","MOUNTAIN DEW",597,"234","MOUNTAIN DEW"
"99","MOUNTAIN DEW CAFFEINE FREE",598,"234","MOUNTAIN DEW"
"100","MOUNTAIN DEW CODE RED",599,"234","MOUNTAIN DEW"
"101","MOUNTAIN DEW DARK BERRY",600,"234","MOUNTAIN DEW"
"102","MOUNTAIN DEW GAME FUEL",601,"234","MOUNTAIN DEW"
"103","MOUNTAIN DEW LIVE WIRE",602,"234","MOUNTAIN DEW"
"104","MOUNTAIN DEW THROWBACK",603,"234","MOUNTAIN DEW"
"105","MOUNTAIN DEW VOLTAGE",604,"234","MOUNTAIN DEW"
"106","MOUNTAIN DEW WHITE OUT",605,"234","MOUNTAIN DEW"
"107","MOXIE",606,"235","MOXIE"
"108","MR PIBB ZERO",607,"236","MR PIBB ZERO"
"109","MUG",608,"237","MUG"
"110","NATURAL BREW",609,"238","NATURAL BREW"
"111","PEPSI",610,"239","PEPSI"
"112","PEPSI MAX",611,"239","PEPSI"
"113","PEPSI NEXT",612,"239","PEPSI"
"114","PEPSI ONE",613,"239","PEPSI"
"115","PEPSI THROWBACK",614,"239","PEPSI"
"116","PEPSI X",615,"239","PEPSI"
"117","PIBB XTRA",616,"240","PIBB XTRA"
"118","POINT PREMIUM",617,"241","POINT PREMIUM"
"119","POLAR",618,"242","POLAR"
"120","PRIVATE LABEL",619,"243","PRIVATE LABEL"
"121","Q TONIC",620,"244","Q TONIC"
"122","R C",621,"245","RC"
"123","REEDS",622,"246","REEDS"
"124","REGATTA",623,"247","REGATTA"
"125","RUBY RED SQUIRT",624,"249","RUBY RED SQUIRT"
"126","SCHWEPPES",625,"250","SCHWEPPES"
"127","SEAGRAMS",626,"251","SEAGRAMS"
"128","SHASTA",627,"252","SHASTA"
"129","SIERRA MIST",628,"253","SIERRA MIST"
"130","SIERRA MIST CRANBERRY SPLASH",629,"253","SIERRA MIST"
"131","SIERRA MIST NATURAL",630,"253","SIERRA MIST"
"132","SILVER SPRING",631,"254","SILVER SPRING"
"133","SIOUX CITY",632,"255","SIOUX CITY"
"134","SPRECHER",633,"256","SPRECHER"
"135","SPRITE",634,"257","SPRITE"
"136","SPRITE ZERO",635,"257","SPRITE"
"137","SQUIRT",636,"258","SQUIRT"
"138","STEAZ",637,"259","STEAZ"
"139","STEWARTS",638,"260","STEWARTS"
"140","STEWARTS FOUNTAIN CLASSICS",639,"260","STEWARTS"
"141","SUN DROP",640,"261","SUN DROP"
"142","SUNKIST",641,"262","SUNKIST"
"143","TAB",642,"263","TAB"
"144","TAHITIAN TREAT",643,"264","TAHITIAN TREAT"
"145","TEDDYS",644,"265","TEDDYS"
"146","VERNORS",645,"266","VERNORS"
"147","VINTAGE",646,"267","VINTAGE"
"148","VIRGILS",647,"268","VIRGILS"
"149","WAIST WATCHER",648,"269","WAIST WATCHER"
"150","WELCHS",649,"270","WELCHS"
"151","WHITE ROCK",650,"271","WHITE ROCK"
"152","WILD CHERRY PEPSI",651,"239","PEPSI"
"153","ZEVIA",652,"272","ZEVIA"
